Function,DLL,Occurence,Family,Associated
IsDialogMessageW,USER32,3,"{""rozena"": 3}",
DrawIconEx,USER32,7,"{""rozena"": 7}",
CheckMenuRadioItem,USER32,3,"{""rozena"": 3}",
WindowFromPoint,USER32,3,"{""rozena"": 3}",
RedrawWindow,USER32,7,"{""rozena"": 7}",
EndMenu,USER32,3,"{""rozena"": 3}",
SetMenuInfo,USER32,3,"{""rozena"": 3}",
GetMenuInfo,USER32,3,"{""rozena"": 3}",
TrackPopupMenu,USER32,7,"{""rozena"": 7}",
RemoveMenu,USER32,3,"{""rozena"": 3}",
CreateMenu,USER32,7,"{""rozena"": 7}",
DrawMenuBar,USER32,7,"{""rozena"": 7}",
LoadMenuW,USER32,3,"{""rozena"": 3}",
TranslateAcceleratorW,USER32,3,"{""rozena"": 3}",
LoadAcceleratorsW,USER32,3,"{""rozena"": 3}",
IsWindowEnabled,USER32,3,"{""rozena"": 3}",
GetDlgItemTextW,USER32,3,"{""rozena"": 3}",
CreateDialogParamW,USER32,3,"{""rozena"": 3}",
SetLayeredWindowAttributes,USER32,3,"{""rozena"": 3}",
IsWindow,USER32,3,"{""rozena"": 3}",
PostQuitMessage,USER32,7,"{""rozena"": 7}",
ExitWindowsEx,USER32,3,"{""rozena"": 3}",Anti-Debugging
DispatchMessageW,USER32,3,"{""rozena"": 3}",
TranslateMessage,USER32,7,"{""rozena"": 7}",
GetMessageW,USER32,3,"{""rozena"": 3}",
DrawEdge,USER32,3,"{""rozena"": 3}",
RegisterWindowMessageW,USER32,3,"{""rozena"": 3}",
EndTask,USER32,3,"{""rozena"": 3}",
GetWindowDC,USER32,3,"{""rozena"": 3}",Spying
SetMenuItemInfoW,USER32,3,"{""rozena"": 3}",
IsIconic,USER32,7,"{""rozena"": 7}",
ShowWindowAsync,USER32,3,"{""rozena"": 3}",
GetMonitorInfoW,USER32,3,"{""rozena"": 3}",
MonitorFromPoint,USER32,3,"{""rozena"": 3}",
EnumWindows,USER32,3,"{""rozena"": 3}",Enumeration
SetClassLongW,USER32,3,"{""rozena"": 3}",
ClientToScreen,USER32,7,"{""rozena"": 7}",
GetWindowTextW,USER32,3,"{""rozena"": 3}",
InvalidateRgn,USER32,7,"{""rozena"": 7}",
TrackPopupMenuEx,USER32,3,"{""rozena"": 3}",
ModifyMenuW,USER32,3,"{""rozena"": 3}",
AppendMenuW,USER32,3,"{""rozena"": 3}",
GetMenuItemCount,USER32,3,"{""rozena"": 3}",
GetMenuItemID,USER32,3,"{""rozena"": 3}",
