Function,DLL,Occurence,Family,Associated
_errno,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
_exit,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
_fileno,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
_fpreset,MSVCRT,3,{'tetanus': 3}
_gmtime64,MSVCRT,3,{'tetanus': 3}
_initterm,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
_onexit,MSVCRT,3,{'tetanus': 3}
_setmode,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
_snwprintf,MSVCRT,3,{'tetanus': 3}
_stat64,MSVCRT,3,{'tetanus': 3}
_strdup,MSVCRT,7,"{'tetanus': 6, 'athena': 1}"
_time64,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
_wfopen,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
abort,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
calloc,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
exit,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
fclose,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
feof,MSVCRT,3,{'tetanus': 3}
ferror,MSVCRT,3,{'tetanus': 3}
fflush,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
fgets,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
fopen,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
fprintf,MSVCRT,3,{'tetanus': 3}
fputc,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
fputs,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
fread,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
free,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
fseek,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
ftell,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
fwprintf,MSVCRT,3,{'tetanus': 3}
fwrite,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
getenv,MSVCRT,3,{'tetanus': 3}
malloc,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
raise,MSVCRT,3,{'tetanus': 3}
realloc,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
rewind,MSVCRT,3,{'tetanus': 3}
signal,MSVCRT,3,{'tetanus': 3}
strerror,MSVCRT,3,{'tetanus': 3}
vfprintf,MSVCRT,3,{'tetanus': 3}
NtCancelIoFileEx,NTDLL,3,{'tetanus': 3}
NtCreateFile,NTDLL,3,{'tetanus': 3},Helper
NtDeviceIoControlFile,NTDLL,3,{'tetanus': 3}
RtlCaptureContext,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
