Function,DLL,Occurence,Family,Associated
SetHandleCount,KERNEL32,1,"{""cobaltstrike"": 1}",
LCMapStringA,KERNEL32,1,"{""cobaltstrike"": 1}",
IsBadWritePtr,KERNEL32,1,"{""cobaltstrike"": 1}",
GetStringTypeA,KERNEL32,1,"{""cobaltstrike"": 1}",
CompareStringA,KERNEL32,1,"{""cobaltstrike"": 1}",
IsBadReadPtr,KERNEL32,1,"{""cobaltstrike"": 1}",
IsBadCodePtr,KERNEL32,1,"{""cobaltstrike"": 1}",
TerminateThread,KERNEL32,1,"{""cobaltstrike"": 1}",Helper
GetProfileStringA,KERNEL32,1,"{""cobaltstrike"": 1}",
FindResourceA,KERNEL32,2,"{""cobaltstrike"": 1, ""jobutyve"": 1}",Helper
GlobalSize,KERNEL32,1,"{""cobaltstrike"": 1}",
lstrcatA,KERNEL32,1,"{""cobaltstrike"": 1}",Helper
WinExec,KERNEL32,1,"{""cobaltstrike"": 1}",Internet
GetFullPathNameA,KERNEL32,1,"{""cobaltstrike"": 1}",
GetVersionExA,KERNEL32,1,"{""cobaltstrike"": 1}",Enumeration
WritePrivateProfileStringA,KERNEL32,1,"{""cobaltstrike"": 1}",
FindFirstFileA,KERNEL32,1,"{""cobaltstrike"": 1}",Enumeration
SetCurrentDirectoryA,KERNEL32,1,"{""cobaltstrike"": 1}",
GetVolumeInformationA,KERNEL32,1,"{""cobaltstrike"": 1}",
LoadIconA,USER32,1,"{""cobaltstrike"": 1}",
DrawFrameControl,USER32,1,"{""cobaltstrike"": 1}",
DrawEdge,USER32,1,"{""cobaltstrike"": 1}",
DrawFocusRect,USER32,1,"{""cobaltstrike"": 1}",
WindowFromPoint,USER32,2,"{""cobaltstrike"": 2}",
GetMessageA,USER32,1,"{""cobaltstrike"": 1}",Spying
DispatchMessageA,USER32,1,"{""cobaltstrike"": 1}",
SetRectEmpty,USER32,1,"{""cobaltstrike"": 1}",
RegisterClipboardFormatA,USER32,1,"{""cobaltstrike"": 1}",
CreateIconFromResourceEx,USER32,1,"{""cobaltstrike"": 1}",
CreateIconFromResource,USER32,1,"{""cobaltstrike"": 1}",
DrawIconEx,USER32,1,"{""cobaltstrike"": 1}",
CreatePopupMenu,USER32,1,"{""cobaltstrike"": 1}",
AppendMenuA,USER32,1,"{""cobaltstrike"": 1}",
ModifyMenuA,USER32,1,"{""cobaltstrike"": 1}",
CreateMenu,USER32,1,"{""cobaltstrike"": 1}",
CreateAcceleratorTableA,USER32,1,"{""cobaltstrike"": 1}",
GetDlgCtrlID,USER32,1,"{""cobaltstrike"": 1}",
GetSubMenu,USER32,1,"{""cobaltstrike"": 1}",
EnableMenuItem,USER32,1,"{""cobaltstrike"": 1}",
ClientToScreen,USER32,2,"{""cobaltstrike"": 2}",
EnumDisplaySettingsA,USER32,1,"{""cobaltstrike"": 1}",
LoadImageA,USER32,1,"{""cobaltstrike"": 1}",
SystemParametersInfoA,USER32,1,"{""cobaltstrike"": 1}",
IsWindowEnabled,USER32,1,"{""cobaltstrike"": 1}",
TranslateAcceleratorA,USER32,1,"{""cobaltstrike"": 1}",
GetKeyState,USER32,2,"{""cobaltstrike"": 2}",Spying
CopyAcceleratorTableA,USER32,1,"{""cobaltstrike"": 1}",
IsZoomed,USER32,2,"{""cobaltstrike"": 2}",
GetClassInfoA,USER32,1,"{""cobaltstrike"": 1}",
DefWindowProcA,USER32,1,"{""cobaltstrike"": 1}",
GetSystemMenu,USER32,1,"{""cobaltstrike"": 1}",
DeleteMenu,USER32,1,"{""cobaltstrike"": 1}",
GetMenu,USER32,1,"{""cobaltstrike"": 1}",
SetMenu,USER32,1,"{""cobaltstrike"": 1}",
IsIconic,USER32,2,"{""cobaltstrike"": 2}",
GetActiveWindow,USER32,2,"{""cobaltstrike"": 2}",
DestroyAcceleratorTable,USER32,1,"{""cobaltstrike"": 1}",
SetWindowRgn,USER32,1,"{""cobaltstrike"": 1}",
GetMessagePos,USER32,1,"{""cobaltstrike"": 1}",
ChildWindowFromPointEx,USER32,1,"{""cobaltstrike"": 1}",
LoadBitmapA,USER32,1,"{""cobaltstrike"": 1}",
WinHelpA,USER32,1,"{""cobaltstrike"": 1}",
KillTimer,USER32,1,"{""cobaltstrike"": 1}",
SetTimer,USER32,1,"{""cobaltstrike"": 1}",Evasion
ReleaseCapture,USER32,2,"{""cobaltstrike"": 2}",
GetCapture,USER32,1,"{""cobaltstrike"": 1}",
SetCapture,USER32,2,"{""cobaltstrike"": 2}",
GetScrollRange,USER32,1,"{""cobaltstrike"": 1}",
SetScrollRange,USER32,1,"{""cobaltstrike"": 1}",
SetScrollPos,USER32,1,"{""cobaltstrike"": 1}",
SetRect,USER32,2,"{""cobaltstrike"": 2}",
InflateRect,USER32,1,"{""cobaltstrike"": 1}",
IntersectRect,USER32,1,"{""cobaltstrike"": 1}",
PtInRect,USER32,2,"{""cobaltstrike"": 2}",
OffsetRect,USER32,2,"{""cobaltstrike"": 2}",
UnregisterClassA,USER32,1,"{""cobaltstrike"": 1}",
GetWindowLongA,USER32,1,"{""cobaltstrike"": 1}",
SetWindowLongA,USER32,1,"{""cobaltstrike"": 1}",Helper
SetActiveWindow,USER32,1,"{""cobaltstrike"": 1}",
SetCursorPos,USER32,2,"{""cobaltstrike"": 2}",
LoadCursorA,USER32,1,"{""cobaltstrike"": 1}",
SetCursor,USER32,2,"{""cobaltstrike"": 2}",
FillRect,USER32,1,"{""cobaltstrike"": 1}",
IsRectEmpty,USER32,1,"{""cobaltstrike"": 1}",
IsChild,USER32,1,"{""cobaltstrike"": 1}",
DestroyMenu,USER32,1,"{""cobaltstrike"": 1}",
EqualRect,USER32,1,"{""cobaltstrike"": 1}",
GetFocus,USER32,1,"{""cobaltstrike"": 1}",
GetTopWindow,USER32,1,"{""cobaltstrike"": 1}",
PostMessageA,USER32,1,"{""cobaltstrike"": 1}",Spying
SetParent,USER32,1,"{""cobaltstrike"": 1}",
DestroyCursor,USER32,1,"{""cobaltstrike"": 1}",
SendMessageA,USER32,1,"{""cobaltstrike"": 1}",Spying
GetWindowTextA,USER32,1,"{""cobaltstrike"": 1}",
GetWindowTextLengthA,USER32,1,"{""cobaltstrike"": 1}",
CharUpperA,USER32,1,"{""cobaltstrike"": 1}",
GetWindowDC,USER32,1,"{""cobaltstrike"": 1}",Spying
BeginPaint,USER32,1,"{""cobaltstrike"": 1}",
EndPaint,USER32,1,"{""cobaltstrike"": 1}",
TabbedTextOutA,USER32,1,"{""cobaltstrike"": 1}",
